load_case_id,node_id,x_m,ux_mm,uy_mm,uz_mm,translation_mm
LC-STR-01,119,9.0,-0.42800826020161864,-0.0003666125333690455,-0.0005048626020702144,0.42800871497180176
LC-STR-01,120,9.0,-0.42800877709165097,9.791849390691746e-05,-0.0006164569853539897,0.42800923223072745
LC-STR-01,121,11.5,-0.46362213650217593,0.0005070584825956401,0.0859042572024921,0.47151382160935534
LC-STR-01,122,11.5,-0.4636222433286277,-0.06038476588920501,0.06110220905443128,0.47151392812078713
LC-STR-01,123,11.5,-0.4636221207533484,-0.08590424229058076,0.0005071488882810287,0.4715138035045698
LC-STR-01,124,11.5,-0.4636222549039728,-0.06110215638377953,-0.06038476492040316,0.4715139325528828
LC-STR-01,125,11.5,-0.4636221365021899,-0.0005070584828439286,-0.08590425720272882,0.47151382160941246
LC-STR-01,126,11.5,-0.4636222433286495,0.06038476588895613,-0.06110220905466828,0.4715139281208074
LC-STR-01,127,11.5,-0.46362212075336534,0.08590424229033225,-0.0005071488885172977,0.4715138035045415
LC-STR-01,128,11.5,-0.463622254903975,0.06110215638353119,0.060384764920166534,0.47151393255282253
LC-STR-01,129,14.0,-0.499237000170774,0.0007029164595740998,-0.00029713039273005767,0.49923758343851965
LC-STR-01,130,14.0,-0.4992370146191345,0.0007071671618221391,0.000286960914633649,0.49923759794088746
LC-STR-01,131,14.0,-0.49923699228997365,0.0002971355647863908,0.0007029342144468054,0.4992375755858055
LC-STR-01,132,14.0,-0.4992370212321933,-0.0002869472325107665,0.0007071637190332179,0.49923760454119764
LC-STR-01,133,14.0,-0.499237000170788,-0.0007029164598524495,0.00029713039245277877,0.49923758343853386
LC-STR-01,134,14.0,-0.49923701461915615,-0.0007071671621004718,-0.0002869609149108751,0.4992375979409097
LC-STR-01,135,14.0,-0.4992369922899911,-0.00029713556506465877,-0.0007029342147238653,0.4992375755858235
LC-STR-01,136,14.0,-0.49923702123219593,0.00028694723223264253,-0.0007071637193107036,0.4992376045412004
LC-STR-01,137,15.0,-0.5136615817733536,0.0009569878106029671,0.01151119460421523,0.5137914401941605
LC-STR-01,138,15.0,-0.5136615855374216,-0.007462935165195922,0.008816352916195792,0.5137914440089877
LC-STR-01,139,15.0,-0.5136615757702332,-0.011511194603275375,0.0009569925041261868,0.5137914342012783
LC-STR-01,140,15.0,-0.513661590084745,-0.008816351365797538,-0.007462934145066295,0.5137914485137403
LC-STR-01,141,15.0,-0.5136615817733673,-0.0009569878108928383,-0.011511194604507597,0.5137914401941811
LC-STR-01,142,15.0,-0.5136615855374435,0.007462935164906248,-0.008816352916488114,0.5137914440090102
LC-STR-01,143,15.0,-0.5136615757702505,0.011511194602985764,-0.000956992504418448,0.5137914342012896
LC-STR-01,144,15.0,-0.5136615900847474,0.008816351365508054,0.0074629341447737816,0.5137914485137334
LC-STR-01,145,16.5,-0.5352113495922917,0.00028866808350377785,-0.01879914751433086,0.5355414829954168
LC-STR-01,146,16.5,-0.5352113472388574,0.013497125911950958,-0.013088880938484653,0.5355414805832855
LC-STR-01,147,16.5,-0.5352113462548352,0.018799145297500295,0.0002886608096054287,0.5355414795782794
LC-STR-01,148,16.5,-0.5352113504037262,0.013088875190249549,0.013497127218944825,0.535541483638654
LC-STR-01,149,16.5,-0.535211349592305,-0.00028866808381087,0.01879914751401508,0.5355414829954193
LC-STR-01,150,16.5,-0.5352113472388795,-0.013497125912257877,0.013088880938168939,0.5355414805833077
LC-STR-01,151,16.5,-0.535211346254853,-0.0187991452978073,-0.00028866080992134775,0.5355414795783081
LC-STR-01,152,16.5,-0.5352113504037289,-0.013088875190556553,-0.013497127219260652,0.5355414836386719
LC-STR-01,153,19.0,-0.5708794601105454,0.0016670304394330192,0.06771942253098248,0.5748843859025251
LC-STR-01,154,19.0,-0.5708794469082844,-0.04670607060598494,0.04906364131898359,0.5748843717072484
LC-STR-01,155,19.0,-0.5708794581508504,-0.0677194246281069,0.001667027851595632,0.5748843841960125
LC-STR-01,156,19.0,-0.5708794476442366,-0.04906364557788036,-0.04670606793214532,0.574884372584316
LC-STR-01,157,19.0,-0.5708794601105595,-0.0016670304397692023,-0.0677194225313403,0.5748843859025823
LC-STR-01,158,19.0,-0.570879446908307,0.0467060706056498,-0.04906364131934094,0.5748843717072742
LC-STR-01,159,19.0,-0.5708794581508683,0.06771942462777145,-0.0016670278519537623,0.5748843841959916
LC-STR-01,160,19.0,-0.5708794476442391,0.04906364557754494,0.04670606793178709,0.5748843725842607
LC-STR-01,161,21.0,-0.5997951756453117,0.031193387294593047,0.022279400711268015,0.6010188448246477
LC-STR-01,162,21.0,-0.5997951392758896,0.0063031220177773096,0.03781094865660942,0.6010188069307545
LC-STR-01,163,21.0,-0.5997951745886593,-0.022279401224639797,0.03119338598976339,0.6010188437214553
LC-STR-01,164,21.0,-0.5997951400545676,-0.037810949740967034,0.006303122348264042,0.6010188077795314
LC-STR-01,165,21.0,-0.5997951756453257,-0.031193387294952676,-0.022279400711656648,0.6010188448246948
LC-STR-01,166,21.0,-0.5997951392759123,-0.006303122018136308,-0.03781094865699782,0.6010188069308053
LC-STR-01,167,21.0,-0.5997951745886767,0.02227940122428058,-0.031193385990152218,0.6010188437214795
LC-STR-01,168,21.0,-0.5997951400545699,0.0378109497406081,-0.006303122348653098,0.6010188077795153
LC-STR-01,169,-2.5,-0.2627224944217802,0.0005414968831272484,0.7656987823700036,0.8095171570862366
LC-STR-01,170,-2.5,-0.2634328938558074,-0.035955140833185704,0.06493441627336778,0.2736898612194875
LC-STR-01,171,-2.5,-0.2627144734409116,-0.38185748909882744,0.6634141963098426,0.809291314917954
LC-STR-01,172,-2.5,-0.2638887210901743,-0.06410739439546238,0.036740327841174814,0.2740380755016722
LC-STR-01,173,-2.5,-0.26272567205540276,-0.6632295530227587,0.38228691313055624,0.809346342866032
